title,originallink,link,description,pubDate,company
"아이제이테크-일진산업, 기능성 합금소재 4종 개발",http://www.etnews.com/20180919000149,https://n.news.naver.com/mnews/article/030/0002742632?sid=105,"아이제이테크(대표 유인상)와 일진산업(대표 정희열)은 오랜 시간 축적된 기술 노하우를 바탕으로 혁신적 기능의 주조, 압출 병용 합금소재 4종을 개발했다고 19일 밝혔다. 알파합금은 알미늄합금 기반으로 SST... ","Wed, 19 Sep 2018 13:06:00 +0900",아이제이테크
"[더벨]일진홀딩스, 계열사 구조조정 '속도'",http://www.thebell.co.kr/front/free/contents/news/article_view.asp?key=201510190100031750001930,http://www.thebell.co.kr/front/free/contents/news/article_view.asp?key=201510190100031750001930,하지만 일진홀딩스는 아트테크처럼 아이텍과 아이제이를 청산하지는 않을 방침이다. 일진홀딩스 관계자는 &quot;완전히 정리하는 것은 아니고 그대로 가지고 갈 것&quot;이라면서 &quot;존속하는 아이텍의 경우 정확히 어떤... ,"Tue, 20 Oct 2015 09:01:00 +0900",아이제이테크
장항공업고 지역 우량기업과 산학협력협약 체결,http://www.cctoday.co.kr/news/articleView.html?idxno=2039054,http://www.cctoday.co.kr/news/articleView.html?idxno=2039054,"장항공업고등학교(교장 오동규)는 3일 2020학년도 산학일체형 도제학교 지역 우수기업 취업연계 활동의 일환으로 ㈜에쎈테크, ㈜아이제이테크, ㈜동백, ㈜대정 4개 업체와 산학협력 협약을 체결했다.산학일체형... ","Wed, 04 Dec 2019 20:40:00 +0900",아이제이테크
장항공업고등학교 지역 우량기업과 산학협력협약 체결,http://www.ggilbo.com/news/articleView.html?idxno=727789,http://www.ggilbo.com/news/articleView.html?idxno=727789,"서천 장항공업고등학교(교장 오동규)는 지난 3일 2020학년도 산학일체형 도제학교 지역 우수기업 취업연계 활동의 일환으로 우량기업인 ㈜에쎈테크, ㈜아이제이테크, ㈜동백, ㈜대정 4개 업체와 산학협력 협약(MOU)을... ","Wed, 04 Dec 2019 11:54:00 +0900",아이제이테크
"장항공업고, 지역 우량기업과 산학협력협약 체결",http://www.joongdo.co.kr/main/view.php?key=20191204010001663,http://www.joongdo.co.kr/main/view.php?key=20191204010001663,"장항공업고(교장 오동규)가 지난 3일 2020학년도 산학일체형 도제학교 지역 우수기업 취업연계 활동의 일환으로 ㈜에쎈테크, ㈜아이제이테크, ㈜동백, ㈜대정 등 4개 업체와 산학협력 협약을 체결했다. 산학일체형... ","Wed, 04 Dec 2019 10:52:00 +0900",아이제이테크
서천 장항공고 우량기업 4개 기업체와 산학협력 협약,http://www.daejonilbo.com/news/newsitem.asp?pk_no=1399208,http://www.daejonilbo.com/news/newsitem.asp?pk_no=1399208,"서천 장항공고(교장 오동규)는 지난 3일 우량기업인 ㈜에쎈테크, ㈜아이제이테크, ㈜동백, ㈜대정 4개 업체와 산학협력 협약(MOU)을 체결했다. 이번 협약으로 학생들은 학교에서 Off-jt, 기업에서 Ojt수업을 병행하여... ","Wed, 04 Dec 2019 10:08:00 +0900",아이제이테크
"[부고]▲양동운 씨 별세, 양규원(경기신문 지역사회부 차장)씨 부친상",http://www.kgnews.co.kr/news/articleView.html?idxno=512692,http://www.kgnews.co.kr/news/articleView.html?idxno=512692,"☎(032)762-7616, 010-8635-6833. 김일우(아이제이테크 대표)씨 빙모상, 김혜정(경기신문 편집부 기자)씨 외조모상= 17일 오후, 고대안산병원 장례식장 111호, 발인 19일 오전 9시. ☎(031)411-4441. 삼가 명복을 빕니다","Tue, 17 Apr 2018 22:00:00 +0900",아이제이테크
"타타대우상용차, ‘2024 협진회 정기총회 및 벤더 컨퍼런스’ 개최",http://www.edaily.co.kr/news/newspath.asp?newsid=03706406638891872,https://n.news.naver.com/mnews/article/018/0005746799?sid=103,"대표이사, 아이제이테크 김시곤 대표이사, 에이팸 허성만 대표이사, 한유에너지 박병철 대표이사 등을 부문별 수상 대상자로 선정했다. 벤더 컨퍼런스에서 동반성장상을 수상하며 상생협력의 모범사례로 눈길을 끈... ","Thu, 23 May 2024 18:01:00 +0900",아이제이테크
"타타대우상용차, ‘2024 협진회 정기총회·벤더 콘퍼런스’ 개최",https://mydaily.co.kr/page/view/2024052317383255387,https://n.news.naver.com/mnews/article/117/0003834444?sid=103,대표이사 △아이제이테크 김시곤 대표이사 △에이팸 허성만 대표이사 △한유에너지 박병철 대표이사 등을 부문별 수상 대상자로 선정했다. 한엑스의 한성희 대표는 &quot;한엑스는 부산과 전북 김제에 공장을 둔 플라스틱... ,"Thu, 23 May 2024 17:40:00 +0900",아이제이테크
"[더벨]일진 계열 알피니언, 아이제이 흡수합병",http://www.thebell.co.kr/front/free/contents/news/article_view.asp?key=201510210100037140002256,http://www.thebell.co.kr/front/free/contents/news/article_view.asp?key=201510210100037140002256,보유한 아이제이를 '1:2.2118681' 비율로 흡수합병하는 안건을 처리한다. 합병기일은 12월 29일이다. 앞서 일진홀딩스는 지난 13일 아이텍이 80.9%를 보유한 손자회사 아트테크(artech)를 자회사로 편입하며 계열사... ,"Thu, 22 Oct 2015 08:31:00 +0900",아이제이테크
[컨슈머리포트] 성분 순하고 끈적임 없는 ‘무기자차’ 제품 1위,http://news.kmib.co.kr/article/view.asp?arcid=0924190704&code=11151600&cp=nv,https://n.news.naver.com/mnews/article/005/0001437626?sid=101,"향료, 비에이치티 등이 함유돼 있는 게 아쉬웠다”고 했다. 최윤정씨는 “촉촉하고 얇게 발리는 차단제를 찾는다면 사용감이 마음에 드실 것”이라면서도 “페녹시에탄올, 비에이치티는 발암물질 논란이 있는 성분”... ","Sun, 09 May 2021 21:26:00 +0900",비에이치티
[깐깐한 파우치] &quot;연말 선물로 향수 어때&quot;… 조 말론 '크리스마스 에디...,http://biz.newdaily.co.kr/site/data/html/2018/12/13/2018121300049.html,http://biz.newdaily.co.kr/site/data/html/2018/12/13/2018121300049.html,"리날룰, 비에이치티, 시트로넬올, 파네솔, 하이드록시시트로넬알, 제라니올, 시트랄로 구성됐다. 화장품... 향료에 이어 산화방지제로 쓰이는 비에이치티가 함유됐다. 이 성분은 탈모 및 피부 과민반응의 원인이 된다고... ","Thu, 13 Dec 2018 11:32:00 +0900",비에이치티
"두피관리 및 스트레스관리 전문 에스테틱 샵 ‘BHT-STA’, 자연치유 프로...",http://www.viva100.com/main/view.php?key=20170928001503112,http://www.viva100.com/main/view.php?key=20170928001503112,두피관리 및 스트레스 관리 전문 에스테틱 샵 ‘BHT-STA(이하 비에이치티스파)’는 2017년 4월에 오픈한... 비에이치티스파는 우리 신체의 근간을 이루게 되는 ‘뇌’와 ‘척수’를 강화시켜 근원적인 에너지가 막힘 없이... ,"Thu, 28 Sep 2017 15:06:00 +0900",비에이치티
제약회사가 만든 기미 크림 기능성 화장품...성분ㆍ함량 표시는?,http://www.econovill.com/news/articleView.html?idxno=301963,http://www.econovill.com/news/articleView.html?idxno=301963,동성제약 랑스 맥스 화이닝 크림에는 산화방지제인 비에이치티(BHT: 디부틸하이드록시톨루엔) 성분이 들어가 있다. 비에이치티는 산화방지제로 주로 쓰이는데 미국 비영리시민단체 ‘친환경 단체 EWG(Environmental Working... ,"Tue, 08 Nov 2016 13:54:00 +0900",비에이치티
[깐깐한 파우치] 정용진 화장품 '스톤브릭' 틴트·립스틱 인기… 성분은...,http://biz.newdaily.co.kr/site/data/html/2019/04/03/2019040300054.html,http://biz.newdaily.co.kr/site/data/html/2019/04/03/2019040300054.html,"토코페롤, 비에이치티, 티타늄디옥사이드, 적색201호, 적색202호, 황색5호로 구성됐다. 화장품 전성분 표시제에 따라 함량이 많은 성분 순서대로 기재됐다. 이 가운데 주의성분으로 비에이치티 등 4개가 함유됐다.... ","Wed, 03 Apr 2019 11:28:00 +0900",비에이치티
[And 컨슈머리포트-앰플] 성분 좋고 잘 발리는 ‘블리블리’ 엄지 척,http://news.kmib.co.kr/article/view.asp?arcid=0924049612&code=11151600&cp=nv,https://n.news.naver.com/mnews/article/005/0001159003?sid=101,"있는 비에이치티와 페녹시에탄올 등이 문제성분으로 지적됐다. 평가대상 제품 중 최저가였던 BRTC 앰플은... 하지만 알레르기 유발 성분인 피이지와 피피지 성분, 비에이치티 성분, 방부제 성분인 페녹시에탄올 등... ","Mon, 24 Dec 2018 04:06:00 +0900",비에이치티
[And 컨슈머리포트-젤 타입 자외선차단제] 중저가 ‘네이처리퍼블릭’ ...,http://news.kmib.co.kr/article/view.asp?arcid=0923955345&code=11151600&cp=nv,https://n.news.naver.com/mnews/article/005/0001100744?sid=101,알레르기 유발 가능성이 있고 내분비계에도 영향을 미칠 수 있는 벤조페논과 비에이치티가 문제 성분으로... 벤조페논과 비에이치티 성분이 문제성분으로 지적됐다. 중간대 가격이고 성분평가에서 3위였던 이... ,"Mon, 28 May 2018 05:02:00 +0900",비에이치티
[깐깐한 파우치] 30년간 사랑 받아온 '에스티로더 갈색병' 파헤쳐 보니,http://biz.newdaily.co.kr/site/data/html/2018/10/24/2018102400053.html,http://biz.newdaily.co.kr/site/data/html/2018/10/24/2018102400053.html,"트라이소듐이디티에이, 비에이치티, 잔탐검, 페녹시에탄올, 적색 504호, 황색 4호로 구성됐다. 화장품 전성분... 착향제인 트라이에탄올아민과 산화방지체 비에이치티도 함유됐다. 이들은 눈 관련 질환과 모발 및 피부... ","Wed, 24 Oct 2018 14:36:00 +0900",비에이치티
"[And 컨슈머리포트] 리퀴드 파운데이션… ‘팔방미인’ 토종 브랜드, 美...",http://news.kmib.co.kr/article/view.asp?arcid=0923813825&code=11151600&cp=nv,https://n.news.naver.com/mnews/article/005/0001025462?sid=101,"피이지류, 향료, 페녹시에탄올, 비에이치티 등 알레르기 주의성분이 함유돼 있고 부틸페닐메칠프로피오날... 또 파라벤, 피이지, 비에이치티 등 피부에 자극을 주는 성분도 다수 들어 있었다. 고진영 원장은 “커버력이... ","Mon, 11 Sep 2017 05:04:00 +0900",비에이치티
[국민 컨슈머리포트-입술보호제] 천연오일 쓴 버츠비 1위… 문제성분 논...,http://news.kmib.co.kr/article/view.asp?arcid=0923638561&code=11151600&cp=nv,https://n.news.naver.com/mnews/article/005/0000950573?sid=101,"유해성 논란이 있는 페트롤라툼, 향료, 비에이치티, 청색1호, 황색4호 등 다수의 주의성분과... 주의 성분인 부틸메톡시디벤조일메탄, 비에이치티, 향료, 적색223호, 황색5호, 적색202호 등과 알레르기 유발 성분인... ","Mon, 07 Nov 2016 19:34:00 +0900",비에이치티
"[에듀플러스]안양대 글로벌대학원, HOBAKFILM과 산학협력 업무협약 체결",https://www.etnews.com/20250521000373,https://n.news.naver.com/mnews/article/030/0003314700?sid=102,"강경식 대표는 이 자리에서 “학교 기관과 기업의 산학협력을 통해 트랜디하고, 실직적인 교육과 결과로 도출되는 우수한 K영상콘텐츠를 통해 세계로 뻗어가고 있는 K영상콘텐츠 제작사의 이미지를 교육 현장에... ","Wed, 21 May 2025 17:03:00 +0900",트랜디플러스
"플러스메뉴 전문브랜드 '치킨플러스', 신메뉴 3종 출시",http://www.enewstoday.co.kr/news/articleView.html?idxno=688767,http://www.enewstoday.co.kr/news/articleView.html?idxno=688767,신메뉴 ‘쉑쉑양꼬치킨’ [이뉴스투데이 윤중현 기자] 메인메뉴와 플러스메뉴를 함께 판매하고 있는 '치킨플러스'가 트랜디한 신메뉴 3종을 1일 출시한다. 관계자는 &quot;고객들이 좋아할 만한 메뉴를 선정하여 연구하였으며... ,"Wed, 01 Feb 2017 13:16:00 +0900",트랜디플러스
[여의도 승부사] '인벤티지랩 vs 인트론바이오 vs 더블유씨피' 여의도를...,https://news.mtn.co.kr/news-detail/2023120608121138738,https://news.mtn.co.kr/news-detail/2023120608121138738,맞춘 트랜디한 전략! 머니 플러스! ▶▶▶ 수익열전 주식 일도양단(一刀兩斷) ▶ 김민재 어드바이저 인벤티지랩(389470) - 약물 전달기술 플랫폼 및 응용 치료제 개발 - 마이코플라스마株 상승… 제약ㆍ바이오 수급 기대... ,"Wed, 06 Dec 2023 09:04:00 +0900",트랜디플러스
"가방 제작 업체 '트랜디협동조합', 밀알복지센터에 가방 기부",http://www.gpkorea.com/news/articleView.html?idxno=79062,http://www.gpkorea.com/news/articleView.html?idxno=79062,"덧붙여 &quot;모두가 힘들어하는 코로나 악재 속에서도 취약계층에 관심을 갖고 기부를 실천해 주시는 밀알복지재단 기빙플러스에 감사드린다&quot;고 전했다. 한편 트랜디협동조합은 가방 제작 및 판매하는 업체이며 백팩, 에코백... ","Wed, 20 Oct 2021 16:00:00 +0900",트랜디플러스
트리플 초역세권에 트랜디한 복층설계 오피스텔 '위버루체상봉' 분양 중,http://www.nextdaily.co.kr/news/articleView.html?idxno=216339,http://www.nextdaily.co.kr/news/articleView.html?idxno=216339,"'위버루체상봉'은 가까운 거리에 코스트코를 포함해 이마트, 홈플러스가 위치한 소위 '트리플 몰세권'을 이루고 있으며 동부간선도로 지하화 이후에는 중랑천에 수변 공원이 조성되면서 주거 쾌적성이 더욱 향상될... ","Sat, 11 Mar 2023 09:02:00 +0900",트랜디플러스
"승승장구 정가은, 4개 프로 고정·MC",http://star.moneytoday.co.kr/view/stview.php?no=2010022516551747482&type=1&outlink=1,https://m.entertain.naver.com/article/108/0002020210,25일 제작사 측에 따르면 정가은은 SBS 플러스의 여성 공감 트랜디 프로그램 '요 걸스 다이어리(Yo Girls Diary)시즌2' 메인 MC에 발탁됐다. 정가은은 슈퍼모델 출신으로 신인 여성 9인조 그룹 나인뮤지스의 멤버인... ,"Thu, 25 Feb 2010 17:09:00 +0900",트랜디플러스
2019년형 트랜디한 오피스텔 '여의도 아리스타' 눈길,http://www.edaily.co.kr/news/newspath.asp?newsid=02725686622492200,https://n.news.naver.com/mnews/article/018/0004386266?sid=101,"홈플러스 등 대형마트와 백화점에, 타임스퀘어, 여의도IFC몰까지 인접해있어 편리한 문화생활이 가능하다.... 높여주는 트랜디한 오피스텔이라고 할 수 있다. 여의도 아리스타 오피스텔은 서울시 영등포구 버드나루로에... ","Fri, 24 May 2019 14:50:00 +0900",트랜디플러스
"YG케이플러스의 가장 '핫'한 모델 이서연, '싸이, 수지, 화사 등 슈퍼스...",http://www.sportsseoul.com/news/read/1150941?ref=naver,https://m.entertain.naver.com/article/468/0000873819,사진 | YG 케이플러스 요즘 ‘핫’한 모델로 팬들의 사랑을 받고 있는 모델 이서연이 당대 스타들만 찍는... 뿐만 아니라 패션 브랜드 에잇세컨즈의 캠페인 영상과 룩북에서 그는 프로페셔널한 포즈와 트랜디한 비주얼을... ,"Tue, 16 Aug 2022 07:41:00 +0900",트랜디플러스
"웰릿, 신제품 아르맨 플러스(AR.MAN PLUS) 불만족시 100% 환불 보장 이벤...",http://www.sisunnews.co.kr/news/articleView.html?idxno=163390,http://www.sisunnews.co.kr/news/articleView.html?idxno=163390,"자료제공 / 웰릿(wellit) 트랜디 건강식품 전문 브랜드 웰릿(wellit)이 대표 제품인 아르맨의 업그레이드 버전, '아르맨 플러스' 출시를 기념하여 구매 고객 대상 '불만족시 100% 환불 보장 이벤트'를 진행한다고 밝혔다. 웰릿... ","Fri, 13 May 2022 13:36:00 +0900",트랜디플러스
"[박영락의 소통컨슈머리포트]〈17〉LG유플러스, 트랜디한 포맷에 고객 ...",https://www.etnews.com/20231030000052,https://n.news.naver.com/mnews/article/030/0003151030?sid=110,LG유플러스는 SNS 채널에 대한 명확한 이해를 바탕으로 체계적인 소셜 미디어 채널 운영 체계를 갖추고 채널 특성에 맞는 운용 전략을 실행하고 있다. LG유플러스의 SNS 채널은 전반적으로 콘텐츠 퀄리티가 높고 다채롭게... ,"Mon, 30 Oct 2023 16:02:00 +0900",트랜디플러스
"가장 비싼 국유물품…관세청 컴퓨터서버 4위, 국세청 SW 5위",http://www.taxtimes.co.kr/news/article.html?no=249251,http://www.taxtimes.co.kr/news/article.html?no=249251,"그 뒤를 이어 행정안전부의 정류기(이화일렉콤)가 148억원, 행정안전부의 무선중계기(재난안전통신망)가 114억원으로 평가됐다. 관세청의 컴퓨터서버(IBM)는 101억원으로 4위를 기록했다. 국세청의 소프트웨어... ","Tue, 06 Apr 2021 10:15:00 +0900",이화일렉콤
"광주시, 향토기업 4곳·유망 중소기업 10곳 선정 현판수여식",http://www.kyeongin.com/main/view.php?key=20201122010004348,http://www.kyeongin.com/main/view.php?key=20201122010004348,"향토기업으로 ▲도부라이프텍(주) ▲(주)태경하이테크 ▲(주)이화일렉콤 ▲(주)한성실업이, 유망 중소기업으로는 ▲제이와이커스텀(주) ▲(주)소명이엔지 ▲키그린(주) ▲동양전자(주) ▲프라임에너텍(주) ▲(주)... ","Mon, 23 Nov 2020 22:00:00 +0900",이화일렉콤
"광주시, 2020년 향토기업 및 유망 중소기업 선정",http://www.nbntv.co.kr/news/articleView.html?idxno=911499,http://www.nbntv.co.kr/news/articleView.html?idxno=911499,"올해 향토기업으로 선정된 기업은 △도부라이프텍㈜ △㈜태경하이테크 △㈜이화일렉콤 △㈜한성실업이 선정됐다. 또한, 유망 중소기업으로는 △제이와이커스텀㈜ △㈜소명이엔지 △키그린㈜ △동양전자... ","Mon, 23 Nov 2020 14:24:00 +0900",이화일렉콤
"광주시, 향토·유망기업 선정… 특례보증 등 재정 혜택",http://www.kihoilbo.co.kr/news/articleView.html?idxno=897864,http://www.kihoilbo.co.kr/news/articleView.html?idxno=897864,"향토기업은 ▶도부라이프텍㈜ ▶㈜태경하이테크 ▶㈜이화일렉콤 ▶㈜한성실업이, 유망 중소기업은 ▶제이와이커스텀㈜ ▶㈜소명이엔지 ▶키그린㈜ ▶동양전자㈜ ▶프라임에너텍㈜ ▶㈜지에스에이... ","Sun, 22 Nov 2020 18:43:00 +0900",이화일렉콤
"광주시, 시 향토기업 및 유망 중소기업 공로패 수여식 개최",http://www.incheonilbo.com/news/articleView.html?idxno=1068012,http://www.incheonilbo.com/news/articleView.html?idxno=1068012,올해 선정된 향토기업은 ▲도부라이프텍㈜ ▲㈜태경하이테크 ▲㈜이화일렉콤 ▲㈜한성실업이다. 유망 중소기업으로는 ▲제이와이커스텀㈜ ▲㈜소명이엔지 ▲키그린㈜ ▲동양전자㈜ ▲프라임에너텍㈜ ▲㈜지에스에이... ,"Sun, 22 Nov 2020 13:35:00 +0900",이화일렉콤
"신동헌 시장, &quot;세계적 글로벌기업 성장하도록 인프라 확충 지속 추진할...",http://www.ajunews.com/view/20201121131707369,http://www.ajunews.com/view/20201121131707369,"올해 향토기업으로 선정된 기업은 △도부라이프텍㈜ △㈜태경하이테크 △㈜이화일렉콤 △㈜한성실업이라고 신 시장은 말한다. 또, 유망 중소기업으로는 △제이와이커스텀㈜ △㈜소명이엔지 △키그린㈜ △동양전자... ","Sat, 21 Nov 2020 13:27:00 +0900",이화일렉콤
"광주시, 2020년 향토기업 및 유망 중소기업 선정",http://moneys.mt.co.kr/news/mwView.php?no=2020112021138050199,https://n.news.naver.com/mnews/article/417/0000621869?sid=102,"올해 향토기업으로 선정된 기업은 ▲도부라이프텍㈜ ▲㈜태경하이테크 ▲㈜이화일렉콤 ▲㈜한성실업이 선정됐다. 또한, 유망 중소기업으로는 ▲제이와이커스텀㈜ ▲㈜소명이엔지 ▲키그린㈜ ▲동양전자... ","Sat, 21 Nov 2020 12:27:00 +0900",이화일렉콤
"경기 광주시, 2020년 향토기업 및 유망 중소기업 선정",http://www.viva100.com/main/view.php?key=20201120010005281,http://www.viva100.com/main/view.php?key=20201120010005281,"올해 향토기업으로 선정된 기업은 도부라이프텍㈜, ㈜태경하이테크, ㈜이화일렉콤, ㈜한성실업이 선정됐다. 또한, 유망 중소기업으로는 제이와이커스텀㈜, ㈜소명이엔지, 키그린㈜, 동양전자㈜, 프라임에너텍... ","Fri, 20 Nov 2020 16:51:00 +0900",이화일렉콤
[지자체의 SR] 광주시 '향토기업 및 유망 중소기업' 선정 공로패,http://www.srtimes.kr/news/articleView.html?idxno=79519,http://www.srtimes.kr/news/articleView.html?idxno=79519,"올해 향토기업으로 선정된 기업은 도부라이프텍, 태경하이테크, 이화일렉콤, 한성실업이 선정됐다. 또한, 유망 중소기업으로는 제이와이커스텀, 소명이엔지, 키그린, 동양전자, 프라임에너텍, 지에스에이, 태경하이테크... ","Fri, 20 Nov 2020 16:06:00 +0900",이화일렉콤
"광주시, 2020년 향토기업 및 유망 중소기업 14개사 선정",http://www.joongdo.co.kr/web/view.php?key=20201120010007721,http://www.joongdo.co.kr/web/view.php?key=20201120010007721,"선정된 향토기업 4개 기업은 △도부라이프텍㈜ △㈜태경하이테크 △㈜이화일렉콤 △㈜한성실업이 선정됐고, 유망 중소기업은 △제이와이커스텀㈜ △㈜소명이엔지 △키그린㈜ △동양전자㈜ △프라임에너텍... ","Fri, 20 Nov 2020 16:08:00 +0900",이화일렉콤
"온라이프건설, 불황에도 A급 신용등급",https://www.busan.com/view/busan/view.php?code=2025061618085625590,https://n.news.naver.com/mnews/article/082/0001330889?sid=101,자사 아파트 브랜드 이름은 ‘온리유’다. 온라이프건설 정근 회장은 “부산공동어시장 현대화 사업에 컨소시엄으로 참여하는 것을 계기로 서부산 청사 건립 등 대규모 관급공사에도 적극 참여하겠다”고 밝혔다.,"Mon, 16 Jun 2025 18:11:00 +0900",정근건설
"부산 온라이프건설, 건설 불황 속에도 2년 연속 ‘A-’",https://ilyo.co.kr/?ac=article_view&entry_id=494265,https://ilyo.co.kr/?ac=article_view&entry_id=494265,온라이프건설 정근 회장은 “건설업계 전반의 신용등급 하락이 예상되는 상황에서도 지난해와 같은 A- 등급 유지는 경쟁사와의 수주전에서 우위를 점할 수 있는 요인”이라며 “특히 최근 부산공동어시장 현대화사업에... ,"Sun, 15 Jun 2025 00:04:00 +0900",정근건설
"건설불황 속 돋보이는 지역 건설사…부산 온라이프건설, 2년 연속 ‘A-’",http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202506130476&t=NN,https://n.news.naver.com/mnews/article/215/0001212658?sid=101,"온라이프건설 정근 회장은 “건설업계 전반의 신용등급 하락이 예상되는 상황에서도 지난해와 같은 ‘A-’ 등급 유지는 경쟁사와의 수주전에서 우위를 점할 수 있는 요인”이라고 강조하고, “특히, 최근... ","Fri, 13 Jun 2025 17:04:00 +0900",정근건설
"건설불황 속 부산 온라이프건설, 2년 연속 'A- 등급'",http://www.shinailbo.co.kr/news/articleView.html?idxno=2067123,http://www.shinailbo.co.kr/news/articleView.html?idxno=2067123,"온라이프건설 정근 회장은 &quot;건설업계 전반의 신용등급 하락이 예상되는 상황에서도 지난해와 같은 'A-' 등급 유지는 경쟁사와의 수주전에서 우위를 점할 수 있는 요인&quot;이라고 강조하고, &quot;특히, 최근 부산공동어시장... ","Sun, 15 Jun 2025 08:55:00 +0900",정근건설
